timestamp,type,exchange,symbol,futures_price,spot_price,basis,basis_percent,open_interest,volume_24h,put_call_ratio,implied_volatility,skew,funding_rate,funding_rate_percent,next_funding_time
2025-09-23T12:22:38.222424+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,6.6e-05,0.006600000000000001,2025-09-23T20:00:00+00:00
2025-09-23T16:15:27.780584+00:00,futures,bitmex,BTC/USDT,112516.7,112698.5,-0.0016131536799514005,-0.16131536799514004,0.0,34447098.355930015,,,,,,
2025-09-23T16:15:28.004960+00:00,funding,okx,BTC/USDT,,,,,,,,,,3.922193337e-07,3.922193337e-05,2025-09-24T00:00:00+00:00
2025-09-23T16:15:30.625746+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,6.6e-05,0.006600000000000001,2025-09-23T20:00:00+00:00
2025-09-23T20:13:23.309556+00:00,futures,bitmex,BTC/USDT,111831.8,111833.5,-1.520116959584641e-05,-0.001520116959584641,0.0,36940467.16932001,,,,,,
2025-09-23T20:13:23.563000+00:00,funding,okx,BTC/USDT,,,,,,,,,,7.30697036245e-05,0.00730697036245,2025-09-24T00:00:00+00:00
2025-09-23T20:13:25.492494+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-24T04:00:00+00:00
2025-09-24T00:53:39.870745+00:00,futures,bitmex,BTC/USDT,112207.8,112249.0,-0.00036704113176952213,-0.03670411317695221,0.0,31969501.376339994,,,,,,
2025-09-24T00:53:40.094705+00:00,funding,okx,BTC/USDT,,,,,,,,,,4.29375834267e-05,0.00429375834267,2025-09-24T08:00:00+00:00
2025-09-24T00:53:42.060668+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-24T04:00:00+00:00
2025-09-24T04:14:13.204211+00:00,futures,bitmex,BTC/USDT,111319.7,111124.0,0.0017610957128972777,0.17610957128972776,0.0,33815976.038859986,,,,,,
2025-09-24T04:14:13.388595+00:00,funding,okx,BTC/USDT,,,,,,,,,,6.14555999123e-05,0.00614555999123,2025-09-24T08:00:00+00:00
2025-09-24T04:14:15.386898+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-24T12:00:00+00:00
